ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"222.124.130.195","elite","AS7713","ID","Telekomunikasi Indonesia","200","PT. TELKOM INDONESIA","4145","socks4","5003","2","2023-08-27T07:49:32.937Z","87","3103","3555"
"138.36.150.25","elite","AS263729","AR","Pedraza Luis Eduardo","292","Pedraza Luis Eduardo","1080","socks4","4988","1","2023-08-27T07:49:26.439Z","95","3367","3534"
"37.187.144.55","elite","AS16276","FR","OVH SAS","84","OVH SAS","9050","socks4","4708","1","2023-08-27T07:49:26.633Z","100","3593","3593"
"43.134.164.175","elite","AS132203","SG","Aceville Pte.ltd","330","N/A","443","socks5","4898","82","2023-08-27T07:49:26.437Z","73","2618","3568"
"104.168.87.16","elite","AS36352","US","ColoCrossing","195","Global Cloud Line","1080","socks4","4706","1","2023-08-27T07:49:26.445Z","89","3219","3603"
"103.210.35.40","elite","AS59151","ID","Diskominfo DIY","206","Bidang Layanan Teknologi dan Informasi Dinas Perhubungan","4145","socks4","3999","1","2023-08-27T07:49:26.441Z","98","3563","3638"
"212.5.143.42","elite","AS8866","BG","Vivacom Bulgaria EAD","53","BTC Broadband","3366","socks4","4495","1","2023-08-27T07:49:26.545Z","100","3483","3489"
"103.47.93.221","elite","AS134058","IN","Broban Internet Services Pvt.ltd","195","Broban  PVT Ltd.","1080","socks4","3506","1","2023-08-27T07:49:26.443Z","99","3510","3533"
"221.144.56.29","elite","AS4766","KR","Korea Telecom","293","Kornet","4001","socks4","4988","1","2023-08-27T07:49:21.440Z","47","1669","3524"
"202.182.70.189","elite","AS7018","US","AT&T Services, Inc.","86","CABLE & FIBERLINK","13996","socks4","3793","1","2023-08-27T07:49:21.536Z","79","2811","3573"
"180.249.26.15","elite","AS7713","ID","PT. TELKOM INDONESIA","195","N/A","4145","socks4","5109","1","2023-08-27T07:49:21.439Z","80","2908","3614"
"31.170.19.5","elite","AS42099","LV","DNET ITRisinajumi Ltd.","45","Sia Nano IT","4153","socks4","4712","1","2023-08-27T07:49:21.349Z","100","3563","3571"
"37.187.108.156","elite","AS16276","FR","OVH SAS","6","OVH SAS","9050","socks4","5009","1","2023-08-27T07:49:21.435Z","100","3645","3645"
"117.84.165.182","elite","AS4134","CN","Chinanet","207","Chinanet JS","1080","socks5","4613","1","2023-08-27T07:49:21.436Z","30","1058","3511"
"79.127.35.243","elite","AS43754","IR","Asiatech Data Transmission company","185","Azad University","5678","socks5","4798","1","2023-08-27T07:49:16.436Z","97","3363","3484"
"70.185.95.162","elite","AS22773","US","Cox Communications Inc.","196","Cox Communications Inc.","39593","socks4","4789","1","2023-08-27T07:49:16.443Z","99","3561","3598"
"177.8.113.61","elite","AS263028","BR","Roveri Opção Provedor de Acesso a Internet Ltda ME","193","Roveri Opção Provedor de Acesso a Internet Ltda ME","50297","socks5","5003","1","2023-08-27T07:49:16.534Z","77","2736","3563"
"222.74.65.84","elite","AS4134","CN","Chinanet","290","Chinanet NM","38051","socks5","4796","1","2023-08-27T07:49:16.435Z","78","2783","3557"
"144.91.107.252","elite","AS51167","DE","Contabo GmbH","87","Contabo GmbH","18940","socks4","4792","1","2023-08-27T07:49:16.536Z","100","3578","3579"
"24.9.18.47","elite","AS33652","US","Comcast Cable Communications, LLC","187","Comcast Cable Communications","21231","socks5","4992","1","2023-08-27T07:49:16.439Z","84","2937","3504"
"27.44.32.188","elite","AS17816","CN","China Unicom Guangdong Province Network","283","N/A","53309","socks5","4899","1","2023-08-27T07:49:11.239Z","39","1381","3534"
"195.208.61.116","elite","AS62240","GB","Clouvider Limited","88","Qwarta LLC","52803","socks4","4610","1","2023-08-27T07:49:11.336Z","100","3574","3575"
"103.82.20.108","elite","AS135905","VN","INETACADEMY","288","Inet academy joint stock company","51980","socks5","4793","1","2023-08-27T07:49:11.235Z","99","3503","3539"
"185.245.38.200","elite","AS204623","RU","OOO New Line","99","OOO New Line","4145","socks4","2699","1","2023-08-27T07:49:06.140Z","85","2944","3476"
"84.51.0.197","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","57","Siba Bilisim Telekominikasyon Elektronik Ithalat Ihracat Limited","4145","socks4","5014","1","2023-08-27T07:49:06.235Z","100","3575","3581"
"202.21.127.6","elite","AS9484","MN","Mobinet LLC","187","N/A","5678","socks4","5107","1","2023-08-27T07:49:06.137Z","96","3465","3593"
"31.42.57.129","elite","AS205318","UA","Limited Liability Company AVATOR ISP","88","\"Merlin-Telekom\" LLC","3699","socks4","4802","1","2023-08-27T07:49:06.237Z","100","3621","3623"
"201.121.249.246","elite","AS8151","MX","UNINET","189","Gestión de direccionamiento UniNet","8080","socks5","3906","1","2023-08-27T07:49:06.139Z","91","3299","3614"
"173.212.224.116","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","50886","socks5","4892","1","2023-08-27T07:49:01.038Z","100","3565","3580"
"31.172.189.205","elite","AS31242","PL","Fibertech Networks Sp. z o.o","40","Fibertech Networks Sp. z o.o.","1080","socks4","4996","1","2023-08-27T07:49:01.050Z","100","3505","3510"
"45.8.107.79","elite","AS209242","DE","Cloudflare London, LLC","12","Araxio Development N.V","80","socks4","5100","1","2023-08-27T07:49:01.036Z","100","3530","3531"
"45.7.177.192","elite","AS266626","BR","Litoral Telecom","199","Litoral Telecom","39867","socks4","4914","1","2023-08-27T07:49:00.951Z","99","3539","3571"
"185.22.31.227","elite","AS50810","IR","Mobin Net Communication Company (Private Joint Stock)","184","Mobin Net Communication Company (Private Joint Stock)","4153","socks4","5102","1","2023-08-27T07:48:56.136Z","98","3564","3629"
"194.195.240.60","elite","AS63949","DE","Akamai Technologies, Inc.","11","Linode","54210","socks4","4700","1","2023-08-27T07:48:56.050Z","82","2862","3495"
"177.38.5.42","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","201","FÁBIO MENDES DIAS LTDA ME","4153","socks4","4996","1","2023-08-27T07:48:56.135Z","89","3177","3586"
"45.7.177.178","elite","AS266626","BR","Litoral Telecom","194","Litoral Telecom","39867","socks4","232","2","2023-08-27T07:48:56.046Z","98","3447","3533"
"31.220.15.95","elite","AS63473","SE","HostHatch","30","HostHatch LLC","1080","socks5","4407","1","2023-08-27T07:48:56.234Z","41","1455","3572"
"159.192.140.230","elite","AS131090","TH","CAT-BB","280","N/A","5678","socks4","2304","2","2023-08-27T07:48:51.144Z","98","3416","3498"
"197.234.13.69","elite","AS36902","SC","Intelvision","172","Intelvision Ltd","4145","socks4","4199","1","2023-08-27T07:48:51.150Z","100","3504","3515"
"75.119.201.156","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","15745","socks4","4910","1","2023-08-27T07:48:51.145Z","100","3596","3596"
"201.251.155.253","elite","AS22927","AR","Telefonica de Argentina","272","Cooperativa Telefonica OYIKIL LTDA","5678","socks4","4498","1","2023-08-27T07:48:51.147Z","99","3350","3392"
"196.43.97.114","elite","AS37183","ZW","AfOL-Zw","195","N/A","5678","socks4","4609","1","2023-08-27T07:48:51.147Z","99","3566","3620"
"185.209.177.12","elite","AS396356","US","Latitude.sh","196","Latitude.sh","46925","socks5","4994","1","2023-08-27T07:48:51.145Z","100","3604","3613"
"103.47.93.211","elite","AS134058","IN","Broban Internet Services Pvt.ltd","199","Broban  PVT Ltd.","1080","socks4","5010","1","2023-08-27T07:48:46.240Z","99","3521","3552"
"218.91.158.230","elite","AS4134","CN","Chinanet","198","N/A","7302","socks5","3501","1","2023-08-27T07:48:46.243Z","82","2909","3547"
"103.81.117.122","elite","AS135851","IN","Excogitate Technologies Pvt. Ltd","184","Excogitate Technologies Pvt Ltd","4153","socks4","4011","1","2023-08-27T07:48:46.236Z","98","3536","3625"
"139.255.41.122","elite","AS9905","ID","PT. LINKNET","194","N/A","2135","socks5","4710","1","2023-08-27T07:48:46.238Z","95","3349","3508"
"185.97.122.253","elite","AS200752","IT","Unitel S.R.L.","35","Spinnaker Srl","4153","socks4","3705","1","2023-08-27T07:48:46.341Z","97","3421","3541"
"138.94.92.26","elite","AS264145","BR","FACILNET PROVEDOR E SERVIÇOS EIRELI","199","FACILNET PROVEDOR E SERVIÇOS EIRELI","7497","socks5","4707","2","2023-08-27T07:48:46.244Z","97","3466","3563"
"194.31.64.39","elite","AS212598","TR","SFCTEK Bilisim Yazilim ve Telekomunikasyon Hiz. San. ve Tic. LTD. STI.","101","SFCTEK Bilisim Yazilim ve Telekomunikasyon Hiz. San. ve Tic. LTD. STI","6019","socks4","505","1","2023-08-27T07:48:41.154Z","97","3521","3628"
"54.39.16.26","elite","AS16276","CA","OVH SAS","87","OVH Hosting, Inc.","64124","socks5","5091","1","2023-08-27T07:48:41.235Z","100","3580","3580"
"51.77.116.174","elite","AS16276","GB","OVH SAS","10","OVH Ltd","28046","socks5","3407","1","2023-08-27T07:48:41.155Z","100","3552","3554"
"202.148.12.90","elite","AS38778","ID","DNET-SBY","299","N/A","51302","socks4","5005","1","2023-08-27T07:48:41.136Z","95","3410","3573"
"128.199.27.84","elite","AS14061","IN","DigitalOcean, LLC","199","DigitalOcean, LLC","45857","socks4","5099","1","2023-08-27T07:48:36.147Z","100","3563","3580"
"43.153.174.137","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","289","Tencent Cloud Computing","443","socks5","4499","1","2023-08-27T07:48:36.048Z","98","3383","3463"
"38.127.173.131","elite","AS174","US","Cogent Communications","84","Torlandia Trading SRL","12697","socks5","4683","1","2023-08-27T07:48:36.148Z","100","3495","3503"
"186.251.255.17","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","217","Seanet Telecom Carazinho Eireli","31337","socks4","5013","1","2023-08-27T07:48:36.040Z","99","3544","3565"
"47.105.126.142","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","314","Aliyun Computing Co., LTD","80","socks4","3902","1","2023-08-27T07:48:36.045Z","84","3020","3599"
"118.99.87.125","elite","AS17451","ID","BIZNET","199","N/A","5678","socks4","4797","1","2023-08-27T07:48:31.134Z","73","2514","3425"
"197.234.13.32","elite","AS36902","SC","Intelvision","163","Intelvision Ltd","4145","socks4","4786","82","2023-08-27T07:48:31.144Z","100","3497","3512"
"5.180.100.24","elite","AS41813","UA","LLC ONLINETELECOM","55","LLC ONLINETELECOM","5678","socks4","4797","1","2023-08-27T07:48:31.135Z","90","3204","3564"
"85.159.4.125","elite","AS3326","UA","DATAGROUP-RETAIL","48","N/A","5678","socks4","4895","1","2023-08-27T07:48:31.139Z","97","3504","3604"
"103.3.77.204","elite","AS9341","ID","PT.Indonesia Comnets Plus","182","N/A","5678","socks4","5002","1","2023-08-27T07:48:31.051Z","98","3375","3458"
"103.81.15.113","elite","AS135792","IN","Syswall Telecom Pvt. Ltd.","194","Syswall Telecom Pvt. Ltd.","44832","socks4","1444","1","2023-08-27T07:48:31.142Z","99","3608","3629"
"1.2.187.124","elite","AS23969","TH","TOT Public Company Limited","184","TOT Public Company Limited","4145","socks4","4899","1","2023-08-27T07:48:31.137Z","63","2273","3580"
"27.147.139.73","elite","AS23688","BD","Link3 Technologies Limited","192","Corporate Subscriber","4145","socks4","4808","85","2023-08-27T07:48:24.841Z","97","3481","3592"
"91.247.92.63","elite","AS49389","UA","Privately owned enterprise Alexsandrov Yuriy Viktorovich","48","Privately owned enterprise Alexsandrov Yuriy Viktorovich","5678","socks4","4793","1","2023-08-27T07:48:24.844Z","96","3454","3592"
"94.154.200.2","elite","AS48279","UA","Delta-Net LLC","39","Delta","5678","socks4","2391","1","2023-08-27T07:48:24.843Z","72","2575","3557"
"202.129.52.172","elite","AS9931","TH","CAT Telecom Public Company Limited","188","CAT Northeast","4153","socks4","5092","1","2023-08-27T07:48:24.842Z","50","1801","3599"
"185.125.253.218","elite","AS49100","IR","PTE","197","N/A","1080","socks4","5106","1","2023-08-27T07:48:24.837Z","98","3477","3542"
"186.251.255.245","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","295","Seanet Telecom Carazinho Eireli","31337","socks4","2285","1","2023-08-27T07:48:24.838Z","77","2757","3568"
"45.14.224.32","elite","AS62068","NL","SpectraIP B.V.","10","SpectraIP B.V.","28145","socks4","4587","82","2023-08-27T07:48:19.849Z","92","3286","3568"
"104.17.62.87","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks5","2609","1","2023-08-27T07:48:19.833Z","100","3475","3475"
"43.134.204.249","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","283","Tencent Cloud Computing","33126","socks4","5015","1","2023-08-27T07:48:19.748Z","98","3507","3585"
"186.188.43.25","elite","AS21826","VE","Corporación Telemic C.A.","194","Corporación Telemic C.A","5678","socks5","5196","1","2023-08-27T07:48:19.746Z","95","3361","3534"
"159.223.117.140","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","24006","socks5","4895","1","2023-08-27T07:48:19.741Z","77","2732","3535"
"118.174.65.251","elite","AS23969","TH","TOT Public Company Limited","194","TOT Public Company Limited","4145","socks4","4810","1","2023-08-27T07:48:19.848Z","100","3625","3637"
"190.217.58.90","elite","AS3549","CO","Level 3 Communications, Inc.","151","Politecnico Colombiano Jaime Isaza Cadavid","5678","socks4","4785","1","2023-08-27T07:48:14.744Z","42","1506","3600"
"157.245.62.1","elite","AS14061","SG","DigitalOcean, LLC","192","DigitalOcean, LLC","9050","socks4","2401","1","2023-08-27T07:48:14.741Z","100","3563","3579"
"103.79.96.205","elite","AS64308","ID","PT IndoDev Niaga Internet","200","PT IndoDev Niaga Internet","4153","socks4","3908","1","2023-08-27T07:48:14.739Z","100","3537","3545"
"5.172.188.93","elite","AS60279","PL","Gmina Miasta Elk","40","N/A","5678","socks4","4789","1","2023-08-27T07:48:09.334Z","100","3586","3599"
"49.51.22.107","elite","AS132203","CA","OPHL","94","Tencent cloud computing (Beijing) Co., Ltd.","443","socks5","4208","1","2023-08-27T07:48:09.233Z","52","1859","3551"
"135.125.56.179","elite","AS16276","FR","OVH SAS","8","OVH","25165","socks5","1399","1","2023-08-27T07:48:09.338Z","99","3525","3548"
"79.143.190.221","elite","AS51167","DE","Contabo GmbH","21","Contabo GmbH","12580","socks5","5088","1","2023-08-27T07:48:09.337Z","100","3541","3541"
"14.115.107.232","elite","AS4134","CN","Chinanet","292","Chinanet GD","3629","socks4","4898","1","2023-08-27T07:48:09.235Z","57","2017","3520"
"38.127.179.219","elite","AS174","US","Cogent Communications","84","Torlandia Trading SRL","46656","socks5","3594","82","2023-08-27T07:48:04.036Z","100","3457","3463"
"107.150.50.226","elite","AS33387","US","Nocix, LLC","116","home","56970","socks5","4889","1","2023-08-27T07:48:03.746Z","99","3542","3587"
"190.96.18.88","elite","AS14259","CL","Gtd Internet S.A.","218","Manquehuenet","5678","socks4","4704","1","2023-08-27T07:48:03.747Z","99","3591","3643"
"165.227.66.216","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","33636","socks4","4898","1","2023-08-27T07:48:03.942Z","100","3521","3530"
"171.88.69.214","elite","AS4134","CN","Chinanet","284","Chinanet SC","1080","socks5","4903","2","2023-08-27T07:48:03.838Z","35","1234","3517"
"177.12.176.250","elite","AS263033","BR","Linxbr Telecomunicacoes Ltda","193","Linkli Telecomunicacoes Ltda","4153","socks4","4612","1","2023-08-27T07:48:03.837Z","100","3614","3620"
"81.90.180.139","elite","AS50340","RU","OOO \"Network of data-centers \"Selectel\"","54","HostiMan.ru","22989","socks4","4916","1","2023-08-27T07:47:58.643Z","92","3278","3553"
"85.30.215.48","elite","AS42610","RU","National Cable Networks","299","N/A","60541","socks4","4302","1","2023-08-27T07:47:58.641Z","36","1273","3533"
"212.3.109.7","elite","AS57993","UA","FOP Khalik Andrey Volodumurovuch","45","N/A","4145","socks4","4406","1","2023-08-27T07:47:58.642Z","98","3455","3517"
"66.33.212.180","elite","AS26347","US","New Dream Network, LLC","85","New Dream Network, LLC","15891","socks4","5289","1","2023-08-27T07:47:58.645Z","100","3552","3558"
"43.153.52.170","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","153","Tencent Cloud Computing","443","socks4","4801","1","2023-08-27T07:47:58.636Z","74","2654","3582"
"116.206.151.198","elite","AS132445","IN","Wire And Wireless Solutions","138","Prakash Kumar Khetan T/A WIRE AND WIRELESS SOLUTIONS","4153","socks4","3998","1","2023-08-27T07:47:58.640Z","98","3511","3571"
"20.205.109.189","elite","AS8075","HK","Microsoft Corporation","180","Microsoft Azure Cloud (eastasia)","3128","socks4","4790","1","2023-08-27T07:47:53.444Z","100","3514","3515"
"167.86.67.134","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","23235","socks4","4892","1","2023-08-27T07:47:53.545Z","100","3546","3548"
"27.123.1.36","elite","AS45706","ID","PT Tele Globe Global","191","N/A","4153","socks4","4902","1","2023-08-27T07:47:53.445Z","100","3539","3552"
"189.138.115.211","elite","AS8151","MX","UNINET","188","Gestión de direccionamiento UniNet","80","socks4","4792","1","2023-08-27T07:47:53.447Z","92","3247","3512"
"46.101.210.101","elite","AS14061","DE","DigitalOcean, LLC","17","Digital Ocean","48684","socks4","4600","1","2023-08-27T07:47:53.449Z","100","3493","3497"
"190.214.50.158","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","199","Comite De LA Unidad De Hemodialisis De LA Provinci","55617","socks5","5098","1","2023-08-27T07:47:48.747Z","99","3458","3501"
"185.140.232.98","elite","AS43395","IR","Pooya Parto Qeshm Cooperative Company","197","Ayandeh","4145","socks4","4995","1","2023-08-27T07:47:48.735Z","85","3045","3566"
"147.47.224.168","elite","AS9488","KR","SNU","300","N/A","1080","socks4","4304","1","2023-08-27T07:47:48.736Z","96","3482","3619"
"38.127.173.141","elite","AS174","US","Cogent Communications","84","Torlandia Trading SRL","46656","socks5","4797","1","2023-08-27T07:47:48.745Z","100","3561","3567"
"80.28.111.248","elite","AS3352","ES","TDENET (Red de servicios IP)","33","N/A","4145","socks4","1501","1","2023-08-27T07:47:48.649Z","100","3616","3624"
"47.243.207.3","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","279","Alibaba.com LLC","33967","socks5","4299","2","2023-08-27T07:47:48.647Z","64","2243","3530"
"87.255.13.217","elite","AS35810","RU","BIG TELECOM CLOSED JSC","82","N/A","8080","socks4","4987","1","2023-08-27T07:47:43.851Z","100","3613","3623"
"45.8.104.168","elite","AS209242","DE","Cloudflare London, LLC","11","Araxio Development N.V","80","socks4","4801","1","2023-08-27T07:47:43.746Z","100","3566","3566"
"110.78.149.12","elite","AS131090","TH","CAT-BB","179","N/A","4145","socks4","2988","1","2023-08-27T07:47:43.835Z","78","2813","3589"
"159.192.253.92","elite","AS131090","TH","CAT-BB","184","N/A","4145","socks4","4893","1","2023-08-27T07:47:43.748Z","78","2714","3464"
"51.15.190.163","elite","AS12876","FR","SCALEWAY","1","ONLINE","14522","socks5","5091","1","2023-08-27T07:47:38.540Z","82","2866","3475"
"31.129.84.15","elite","AS51069","UA","Dnepronet Ltd.","53","Dnepronet Ltd","5678","socks4","4905","1","2023-08-27T07:47:38.344Z","92","3312","3585"
"162.12.217.9","elite","AS204902","FR","Weelax","183","XIWO","3629","socks4","3893","1","2023-08-27T07:47:38.340Z","99","3550","3594"
"98.206.244.30","elite","AS33491","US","Comcast Cable Communications, LLC","117","Comcast Cable Communications, Inc.","18301","socks4","4692","1","2023-08-27T07:47:38.341Z","100","3551","3553"
"157.245.134.203","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","12851","socks4","5192","1","2023-08-27T07:47:38.437Z","91","3186","3504"
"104.23.141.196","elite","AS13335","CA","Cloudflare, Inc.","83","Cloudflare, Inc","80","socks4","3996","2","2023-08-27T07:47:38.336Z","100","3526","3526"
"202.159.35.73","elite","AS9340","ID","PT IndoInternet","194","N/A","443","socks4","4909","1","2023-08-27T07:47:33.339Z","100","3534","3543"
"185.162.229.112","elite","AS209242","GB","Cloudflare London, LLC","80","Softconstruct Limited","80","socks4","3097","1","2023-08-27T07:47:33.342Z","100","3604","3605"
"170.254.255.228","elite","AS52584","BR","Connect Fibra","217","Connect Fibra","45816","socks4","4697","1","2023-08-27T07:47:33.341Z","99","3555","3599"
"218.17.253.158","elite","AS4134","CN","Chinanet","296","Chinanet GD","9999","socks4","4699","1","2023-08-27T07:47:33.340Z","80","2814","3515"
"197.234.13.94","elite","AS36902","SC","Intelvision","191","Intelvision Ltd","4145","socks4","4810","1","2023-08-27T07:47:33.337Z","100","3487","3502"
"43.153.58.204","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","192","Tencent Cloud Computing","443","socks4","4995","1","2023-08-27T07:47:33.338Z","79","2849","3589"
"124.227.14.147","elite","AS4134","CN","Chinanet","284","Chinanet GX","7302","socks5","2792","1","2023-08-27T07:47:28.547Z","79","2863","3608"
"102.67.3.210","elite","AS36920","NG","KKON Technologies Ltd","191","Fiberone Broadband","5678","socks4","3302","1","2023-08-27T07:47:28.648Z","79","2793","3543"
"37.152.163.238","elite","AS198569","IR","Rahanet Zanjan Co. (Private Joint-Stock)","110","Rahanet Zanjan Co.","4153","socks4","4789","1","2023-08-27T07:47:28.646Z","93","3318","3571"
"195.66.89.209","elite","AS39121","RU","Eniseyneftegas Territorial Industrial Technical Management of Communication LLC","107","Eniseyneftegas Territorial Industrial Technical Management of Communication CJSC","5678","socks5","4308","1","2023-08-27T07:47:28.540Z","99","3510","3556"
"103.47.93.210","elite","AS134058","IN","Broban Internet Services Pvt.ltd","193","Broban  PVT Ltd.","1080","socks4","3997","1","2023-08-27T07:47:28.546Z","99","3580","3609"
"45.196.148.117","elite","AS7018","US","AT&T Services, Inc.","82","AQUA Networks Limited","5432","socks4","1497","1","2023-08-27T07:47:28.544Z","98","3431","3510"
"95.38.75.60","elite","AS41881","IR","Fanava Group","247","Fanava Group","4145","socks4","142","2","2023-08-27T07:47:22.048Z","91","3234","3551"
"46.148.163.119","elite","AS197405","PL","Tomkow Sp. z o.o.","48","Tomkow Sp. z o.o","5678","socks4","4794","1","2023-08-27T07:47:22.340Z","98","3504","3581"
"197.234.13.24","elite","AS36902","SC","Intelvision","186","Intelvision Ltd","4145","socks4","1811","3","2023-08-27T07:47:22.140Z","100","3536","3548"
"190.43.92.140","elite","AS6147","PE","Telefonica Del Peru","188","PE-TDPERX11-LACNIC","999","socks4","4191","1","2023-08-27T07:47:22.050Z","97","3382","3496"
"139.59.186.196","elite","AS14061","GB","DIGITALOCEAN","80","DigitalOcean, LLC","7497","socks5","4501","1","2023-08-27T07:47:22.338Z","93","3352","3606"
"185.186.17.57","elite","AS57723","PL","Media Telekom Sp. z o.o.","187","Media Telekom Sp. z o.o","5678","socks4","4801","1","2023-08-27T07:47:22.141Z","97","3455","3577"
"103.12.246.129","elite","AS134941","IN","Instant Cable Network PVT LTD","165","Instant Cable Network PVT LTD","4145","socks4","5004","1","2023-08-27T07:47:22.049Z","99","3584","3616"
"49.51.95.195","elite","AS132203","CA","OPHL","94","Tencent cloud computing (Beijing) Co., Ltd.","443","socks5","4586","1","2023-08-27T07:47:22.333Z","89","3170","3566"
"208.113.220.98","elite","AS26347","US","New Dream Network, LLC","85","New Dream Network, LLC","36869","socks5","3111","1","2023-08-27T07:47:17.917Z","100","3559","3565"
"219.152.172.102","elite","AS134420","CN","Chongqing Telecom","292","Chinanet CQ","5678","socks4","4804","1","2023-08-27T07:47:17.147Z","45","1649","3630"
"202.159.121.225","elite","AS9340","ID","PT IndoInternet","196","N/A","443","socks4","4596","1","2023-08-27T07:47:17.054Z","100","3555","3558"
"212.69.12.81","elite","AS52116","RS","Orion Telekom Tim d.o.o.Beograd","38","Orion Telekom Tim d.o.o.Beograd","1080","socks4","4095","1","2023-08-27T07:47:17.145Z","100","3574","3574"
"178.253.201.11","elite","AS9125","RS","Orion Telekom ISP IP Network","35","N/A","9125","socks4","4697","1","2023-08-27T07:47:17.241Z","100","3600","3611"
"143.255.178.129","elite","AS264641","CL","LanProject SPA","199","LanProject SPA","4153","socks4","2312","1","2023-08-27T07:47:17.633Z","100","3604","3618"
"5.187.4.208","elite","AS44066","ES","First Colo","12","Fornex Hosting S.L","39767","socks4","4800","1","2023-08-27T07:47:17.137Z","100","3552","3568"
"178.212.48.84","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","27","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","4915","1","2023-08-27T07:47:17.143Z","100","3632","3638"
"103.19.129.137","elite","AS132566","IN","Skynet Internet Broadband Pvt. Ltd","128","N/A","83","socks4","1513","1","2023-08-27T07:47:16.498Z","98","3529","3584"
"178.212.48.23","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","33","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","2504","1","2023-08-27T07:47:16.308Z","100","3593","3610"
"36.255.104.17","elite","AS136238","MV","SatLink Pvt Ltd","190","N/A","1080","socks4","2699","1","2023-08-27T07:47:16.406Z","100","3560","3570"
"190.181.23.10","elite","AS26210","BO","AXS Bolivia S. A.","203","AXS Bolivia S. A","4153","socks4","711","1","2023-08-27T07:47:16.623Z","98","3568","3623"
"101.109.23.73","elite","AS23969","TH","TOT Public Company Limited","185","TOT Public Company Limited","4145","socks4","1889","1","2023-08-27T07:47:16.456Z","43","1574","3621"
"186.95.225.63","elite","AS8048","VE","CANTV Servicios, Venezuela","185","CANTV Servicios, Venezuela","8080","socks4","414","1","2023-08-27T07:47:16.618Z","16","576","3614"
"38.127.179.226","elite","AS174","US","Cogent Communications","97","Torlandia Trading SRL","55994","socks4","3502","1","2023-08-27T07:47:15.504Z","100","3511","3518"
"173.249.15.6","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","63982","socks5","3704","1","2023-08-27T07:47:15.503Z","99","3545","3569"
"102.66.231.71","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","188","Herotel","5678","socks4","3599","1","2023-08-27T07:47:15.309Z","52","1826","3526"
"103.103.143.209","elite","AS136635","IN","G-max It Services Private Limited","206","G-max It Services Private Limited","5678","socks4","3493","4","2023-08-27T07:47:15.310Z","98","3440","3510"
"170.254.255.244","elite","AS52584","BR","Connect Fibra","293","Connect Fibra","45816","socks4","3304","1","2023-08-27T07:47:15.311Z","99","3525","3577"
"177.222.60.138","elite","AS27882","BO","Telefónica Celular de Bolivia S.A.","194","Telefónica Celular de Bolivia S.A","5678","socks4","4894","2","2023-08-27T07:47:14.600Z","99","3541","3559"
"185.238.228.202","elite","AS209242","GB","Cloudflare London, LLC","12","Invermae Solutions SL","80","socks4","4206","1","2023-08-27T07:47:14.602Z","100","3557","3557"
"20.247.104.85","elite","AS8075","HK","Microsoft Corporation","178","Microsoft Azure Cloud (eastasia)","49999","socks4","4404","1","2023-08-27T07:47:13.203Z","100","3570","3572"
"222.129.33.67","elite","AS4808","CN","China Unicom Beijing Province Network","293","N/A","1080","socks5","2909","1","2023-08-27T07:47:13.009Z","72","2576","3585"
"194.113.104.148","elite","AS59504","RU","vpsville.ru","87","Vpsville LLC","3600","socks4","2907","1","2023-08-27T07:47:13.118Z","100","3473","3475"
"202.21.112.172","elite","AS9484","MN","Mobinet LLC","199","N/A","1080","socks4","4604","1","2023-08-27T07:47:13.201Z","99","3599","3621"
"185.169.181.26","elite","AS34984","TR","Ates Dc","59","Ibrahim MALA trading as Ates Dc","4145","socks4","4702","83","2023-08-27T07:47:12.316Z","100","3502","3503"
"43.152.192.217","elite","AS132203","IN","Shenzhen Tencent Computer Systems Company Limited","187","Tencent Cloud Computing (Beijing) Co., Ltd","443","socks5","5289","1","2023-08-27T07:47:12.409Z","99","3458","3498"
